date,description,amount,category
2026-01-25,PURCHASE AUTHORIZED BEASLEY-DYER 880 TX NORTH HEATHERMOUTH DE  33C6,18.07,Streaming
2026-02-18,"ONLINE PAYMENT SCOTT, POOLE AND MURPHY 244 MA SMITHBURY OH  23p9",144.76,Utilities
2025-07-08,POS MAYER INC 647 ID LAKE LAURAMOUTH MO  62j1,98.0,Restaurants
2024-03-15,INV LYFT ANTHONYFURT GA  63x6,31.56,Public Transport
2025-03-29,ONLINE PAYMENT HICKMAN-BRYANT 257 ID PORT LISA IN  13l0,8.01,Groceries
2024-08-13,POS FOX-MORRIS 331 MA JOHNMOUTH PA  49h9,44.24,Other
2024-09-26,"PAYMENT SMITH, WOOD AND SPENCER 340 MA EMILYVILLE MH  88C8",63.3,Restaurants
2024-11-09,ONLINE PAYMENT RAMSEY GROUP 216 NC EAST CHERYL UT  88p7,1132.2,Electronics
2025-10-16,INV PHELPS-SMITH 845 VT NEW YVONNEFORT MP  01z0,212.53,Utilities
2025-10-31,INV JOHNSON AND SONS 180 DE DIAMONDSIDE DC  90W8,5.05,Coffee Shops
2024-02-22,INV BURTON GROUP 708 ME NEW LEE HI  52p7,28.2,Restaurants
2025-03-03,DEBIT WALKER-FORD 225 CA RICHARDCHESTER IN  63w9,449.53,Hotels
2026-02-02,INV KRAUSE INC 593 CO NORTH MARYTON TX  39W7,28.95,Public Transport
2024-04-21,PAYMENT LOPEZ-BOWMAN 637 WY WILLIAMSVILLE IL  84x2,43.17,Public Transport
2024-12-07,# JACKSON LLC 491 CT NEW JILL KS  07J0,118.99,Utilities
2024-09-17,DEBIT MCDONALD INC 126 CO SCOTTVILLE AR  39f7,807.88,Airfare
2024-08-14,TXN PATEL LTD 161 OK LAKE CHELSEA FL  29x9,433.23,Other
2024-09-28,REF BENDER-CRAWFORD 744 PA WEST SONYA CT  36F6,9.67,Groceries
2025-03-31,POS BROCK-JONES 457 ID ROMEROMOUTH OH  74O5,218.78,Other
2024-07-08,POS BLANCHARD GROUP 989 AK GILBERTMOUTH WA  52B4,222.67,Other
2024-03-31,POS MARTIN INC 789 IL EAST AUTUMNLAND AR  05x2,97.35,Groceries
2024-05-22,"REF CRUZ, JOHNSON AND ROSARIO 968 MT SOUTH JOHNSTAD DC  16P5",204.58,Utilities
2025-03-05,INV ONEAL INC 601 MT KEVINVILLE MP  90C0,155.59,Clothing
2024-07-12,"PURCHASE AUTHORIZED MCDONALD, WHITAKER AND THOMAS 198 TN NORTH CARLY HI  01f0",31.23,Public Transport
2024-05-05,PAYMENT SANTIAGO-WALKER 806 ID DAVISTON MH  70C8,234.95,Electronics
2024-08-03,REF SPEARS-GARCIA 112 IL WEST HALEYHAVEN AR  79G2,155.61,Groceries
2025-02-26,"INV SANCHEZ, WADE AND CABRERA 160 NE WEST SANDRA DC  47x5",25.5,Restaurants
2024-05-15,"REF CHEN, DAVIDSON AND SANCHEZ 351 AS LAKE MISTYVILLE GU  62z5",433.16,Other
2024-07-02,PAYMENT HUERTA AND SONS 426 OH STEVENBURY GU  39L6,53.9,Groceries
2025-08-02,POS WILLIAMS-GUZMAN 118 TX PORT SARAHFORT MD  94w2,371.7,Other
2025-09-03,"DEBIT BERGER, MACDONALD AND SULLIVAN 728 IA PORT AMANDA RI  20i8",61.17,Restaurants
2025-07-26,REF DUKE ENERGY WEST ADAM LA  99m6,184.58,Utilities
2025-05-05,"# RAMIREZ, WOOD AND ARNOLD 322 OR WELLSHAVEN MN  31M6",26.89,Public Transport
2026-01-30,ONLINE PAYMENT DUARTE GROUP 910 AR EAST STEPHEN VT  09w6,36.09,Restaurants
2025-07-23,ONLINE PAYMENT EDWARDS PLC 611 MN EAST WALTER GA  22M1,146.11,Restaurants
2024-08-12,"# SINGH, CHARLES AND KING 783 VT BRADLEYSTAD IL  22N9",127.8,Groceries
2026-01-05,POS PORTER GROUP 553 GA NEW ANTHONY NC  55G5,1721.5,Electronics
2024-09-19,TXN CONTRERAS INC 780 CT WILLIAMSBOROUGH TN  84k0,2.63,Coffee Shops
2025-07-30,# BENNETT-MORENO 459 OK GRAVESPORT MS  50n1,135.04,Groceries
2025-03-14,DEBIT WRIGHT-PADILLA 652 KS EAST GILBERTSTAD MD  13i6,489.64,Other
2025-09-17,"# GARDNER, MERCADO AND HESS 903 KY WEST SARA TX  24J5",30.6,Public Transport
2024-11-23,ONLINE PAYMENT HERMAN PLC 507 CT ROGERVIEW PW  04y3,33.23,Other
2024-10-11,"PURCHASE AUTHORIZED MOORE, BEARD AND YORK 215 NE HOPKINSFURT CA  04H3",123.66,Restaurants
2024-12-05,# DELTA AIR LINES WEST HARRY CO  84d9,237.57,Airfare
2025-01-10,"DEBIT PARKS, WEBB AND KNIGHT 580 DE LAKE LUKETON RI  42y8",48.71,Restaurants
2024-08-05,TXN WEST-CUMMINGS 622 RI SMITHFORT GA  25i8,436.88,Other
2025-11-06,TXN OLD NAVY NEW MICHAELHAVEN RI  80O1,351.36,Clothing
2025-10-18,DEBIT JOHNSON-WILKINS 051 OH WEST DANIEL TN  29x9,95.16,Gas
2024-11-21,"POS GARCIA, MALDONADO AND BAILEY 869 OH JOHNSONFURT AZ  81Y2",120.56,Other
2024-03-06,DEBIT GRAHAM PLC 929 HI WEBERVILLE PR  22E0,141.85,Restaurants
2025-06-04,"PAYMENT SALINAS, LEON AND SCOTT 092 OR NORTH HAYDEN CT  84j4",21.4,Other
2025-08-19,PURCHASE AUTHORIZED PRICE-BARNES 138 FM NORTH PARKERLAND GU  63m1,10.69,Streaming
2024-03-27,"DEBIT FOSTER, ROMERO AND POTTS 817 AK KIMBERLYVILLE PA  29v9",98.68,Gas
2024-06-30,DEBIT MILLER GROUP 624 MP LEEMOUTH MH  35E9,204.64,Utilities
2024-10-02,DEBIT FERNANDEZ-NUNEZ 785 VI MCINTOSHFORT KY  74M4,390.27,Other
2025-07-12,INV VILLARREAL-BLACK 678 CA JESSICABOROUGH AS  03h9,1373.68,Electronics
2025-11-03,"PAYMENT WADE, WALLACE AND MENDOZA 420 WV JONESVILLE AK  58e1",333.48,Other
2024-10-05,"REF FAULKNER, JOHNSON AND MITCHELL 169 AS JOHNLAND MN  46U4",1838.62,Electronics
2024-11-26,REF SMITH LLC 157 AL NORTH KEITH KS  45V3,117.4,Groceries
2024-10-20,INV WHITE-JOHNSON 402 AR NORTH JOSEPH UT  16B0,190.54,Other
2026-01-05,REF WHITE GROUP 101 IA SOUTH JAMES SC  60x1,93.71,Restaurants
2024-06-26,REF KELLY-PALMER 106 MH BROOKSVILLE NM  88d8,98.38,Other
2024-11-15,DEBIT SMITH-WILLIS 050 NM RIVERAFURT PW  56c5,7.39,Streaming
2024-03-22,PURCHASE AUTHORIZED PRATT LTD 760 NV NORTH DONNA OH  12j5,251.36,Other
2025-08-28,ONLINE PAYMENT WILSON LLC 497 OH SOUTH TERESA RI  31P4,45.71,Restaurants
2024-04-21,"# LYNCH, MAYS AND KRUEGER 566 GU MOOREVILLE PR  98R0",124.52,Restaurants
2025-07-19,"POS WHITE, ROSS AND WHITE 059 MH RANDYSTAD AR  47R4",454.1,Electronics
2024-12-16,PAYMENT AMAZON MARKETPLACE NEW PATRICK MN  49T8,351.03,Other
2025-02-26,DEBIT WILSON-COX 416 CA LAURIEPORT NC  24v5,60.91,Clothing
2025-12-27,"DEBIT WATTS, MARTIN AND BRADFORD 482 TX SOUTH CRAIG GA  34i4",137.83,Groceries
2024-04-07,REF SMITH-JIMENEZ 322 IN EAST DANNY NE  95c5,1235.05,Electronics
2025-04-26,POS ROBINSON PLC 322 NV COLEMANFORT PR  86R6,187.63,Groceries
2025-06-10,INV BOND LTD 442 MT BAILEYFORT WA  43r7,88.14,Utilities
2024-11-23,PAYMENT PARKS LLC 839 CA EDWARDSVILLE MN  79X8,371.42,Insurance
2025-12-16,POS JOYCE AND SONS 834 NH PAULVIEW KY  87n2,146.34,Groceries
2025-11-01,"POS MASON, TOWNSEND AND LEE 978 ND SOUTH ERIC ND  37x4",339.23,Other
2025-06-26,PURCHASE AUTHORIZED CLARK-LYNCH 679 GA CHRISTINASIDE AZ  65E4,30.15,Groceries
2024-02-23,TXN LOGAN-GREEN 090 FL SANCHEZLAND AR  92w8,314.51,Airfare
2025-12-20,"ONLINE PAYMENT GROSS, HARRINGTON AND SIMMONS 038 MO STEVENTOWN ME  69D7",123.64,Airfare
2025-01-14,PAYMENT CRAIG-JOHNSON 128 MA SOUTH REBECCABURGH ID  37n4,195.27,Groceries
2024-05-15,PAYMENT LIBERTY MUTUAL MARYHAVEN ME  52u3,230.46,Insurance
2025-01-17,TXN RICHARDSON INC 851 MA EAST AUTUMN PW  45b2,35.67,Gas
2025-04-27,"INV CASEY, MCCANN AND WHITE 116 NM NEW STEPHANIE MP  87x2",871.35,Electronics
2025-02-26,"DEBIT TORRES, YOUNG AND HATFIELD 084 NY NORTH MEGANFORT KY  16t7",10.93,Coffee Shops
2025-01-14,"PAYMENT CORDOVA, MORROW AND DAVIS 592 NJ WEST CYNTHIA ME  35l8",371.37,Electronics
2024-12-02,TXN JOSEPH-JACOBSON 803 MI LAKE ANTHONYBOROUGH NE  00c2,21.42,Public Transport
2024-11-26,DEBIT RICE AND SONS 610 CO WRIGHTSHIRE PW  21S7,75.14,Clothing
2025-05-14,POS CARTER-BROWN 057 SD EAST JAMESTON MT  43y4,74.63,Other
2024-05-30,POS JENKINS-PATTERSON 454 AS NORTH JONATHAN ME  27i7,129.04,Groceries
2025-07-05,TXN SQUARE SOUTH TAYLORSIDE IN  44C2,185.09,Other
2024-04-28,INV CARTER-MERCADO 548 GU SOUTH BRANDON AS  34y6,38.54,Restaurants
2025-02-19,TXN GRAY-KELLY 547 IL MARTINMOUTH ND  29y8,27.55,Restaurants
2025-04-03,# PETERS-RILEY 529 MT WISEFURT DE  61K5,128.85,Restaurants
2024-11-04,REF REED GROUP 302 ND CATHERINEFORT FL  46o6,6.95,Coffee Shops
2025-10-13,PAYMENT WOLF-WILLIAMS 369 SD NEW CAITLIN MS  95i5,11.77,Streaming
2025-08-14,PURCHASE AUTHORIZED REYES-BENDER 479 ME NORTH TAYLORFORT GU  80X8,378.04,Insurance
2025-09-05,"POS ALLEN, BYRD AND JORDAN 319 ME NEW LAURIE MT  29V2",275.35,Hotels
2025-07-25,ONLINE PAYMENT TANNER-MAYO 549 GA PORT TINABERG MI  51f4,11.75,Streaming
2024-12-29,PAYMENT FLOYD INC 232 NH LANGBOROUGH IN  77r5,8.2,Coffee Shops
2024-09-29,"PURCHASE AUTHORIZED COOK, COOPER AND BLANKENSHIP 015 RI BEVERLYVILLE CT  05W1",40.23,Other
2025-05-27,"INV BOYD, SMITH AND JACKSON 232 NE PEREZBURY MD  76L7",129.45,Groceries
2025-10-03,"ONLINE PAYMENT KRAMER, WATSON AND JAMES 738 ME PORT TAYLORSHIRE MP  80f8",32.11,Restaurants
2024-03-13,# COOK-CHAVEZ 532 FL SAMANTHAFORT MI  02n5,102.0,Restaurants
2024-12-10,DEBIT PARKS LTD 101 OR NEW BRYANPORT ND  06Z4,40.68,Public Transport
2025-11-21,"PAYMENT HOLMES, BRADY AND RAMSEY 323 RI SOUTH ELIZABETH CO  33p2",292.99,Clothing
2025-04-13,"INV HOFFMAN, JOHNSON AND SCOTT 307 IL SONYABURGH VI  89A7",31.42,Groceries
2026-01-28,"REF CONTRERAS, NOBLE AND COX 848 ID NEW PATRICIAVIEW TX  29R2",444.3,Other
2025-09-26,"PAYMENT CHAMBERS, LEE AND DUNN 252 MT JENNIFERBURGH GU  65z5",12.98,Other
2025-01-29,"PURCHASE AUTHORIZED RIOS, NELSON AND NOLAN 810 OR ANGELASTAD AR  99B4",135.8,Restaurants
2024-12-20,"# KENNEDY, WALKER AND WILLIAMS 255 KS WEST SEAN NY  64p5",74.15,Groceries
2024-10-04,DEBIT NOVAK AND SONS 474 CA LAKE JAY CT  31S8,46.19,Clothing
2025-04-25,DEBIT GREEN-SANCHEZ 110 NE SCOTTSIDE LA  92u7,971.83,Electronics
2026-02-01,TXN AMAZON MARKETPLACE SOUTH MICHAEL RI  84h0,173.51,Other
2024-03-27,INV LYONS-COLLIER 044 NH EAST SHIRLEYSIDE PA  50f7,2.44,Coffee Shops
2024-08-27,# HOLMES-BOYER 541 PW PORT PETERBURY DE  60U0,62.61,Restaurants
2024-08-23,"DEBIT SHAW, JOYCE AND LOGAN 234 MO SOUTH ANGELA MS  07A3",445.23,Hotels
2025-05-20,PURCHASE AUTHORIZED TAYLOR-MOORE 643 ND THOMASFURT ME  53P0,478.55,Other
2024-12-31,PAYMENT ROGERS INC 635 NM MADELINETON KY  76G3,590.98,Electronics
2024-10-08,"# COLEMAN, PEREZ AND HUDSON 603 OH NORTH MATTHEW MP  66s0",363.27,Other
2024-11-11,TXN WILLIAMS-PARKS 898 NM JESSEMOUTH AL  68p8,48.87,Groceries
2024-11-21,POS JONES-WILLIAMS 464 RI NORTH VANESSABOROUGH GA  79A0,46.82,Restaurants
2025-05-17,REF GAP DAVISCHESTER GA  22P5,86.39,Clothing
2024-07-11,PAYMENT JACKSON GROUP 137 IL LAKE GLORIAFORT WV  98B7,126.24,Other
2025-05-17,PAYMENT JOHNSON AND SONS 104 CT JEFFREYLAND SD  59V5,177.67,Other
2024-03-14,PAYMENT MATHIS AND SONS 803 WA MARTINVILLE IL  59L3,350.19,Airfare
2025-10-11,PAYMENT MARSH-TAYLOR 090 WA SMITHBURGH DE  93o5,91.68,Gas
2026-01-10,TXN PATTERSON LTD 707 WA WEST ALBERT OK  63r2,487.58,Clothing
2024-05-10,POS WATSON PLC 542 NM ARMSTRONGLAND MP  78q6,10.84,Coffee Shops
2025-01-08,PAYMENT WEBB-PERRY 392 FL NORTH DANIELLEBURGH WV  97e9,14.23,Coffee Shops
2024-06-19,"INV BELTRAN, MARQUEZ AND TURNER 988 NJ RYANBURGH TX  62b8",324.75,Other
2024-05-21,PURCHASE AUTHORIZED SIMMONS-MILLER 040 MH PORT AMYLAND AS  52r7,472.7,Other
2025-12-04,ONLINE PAYMENT GUTIERREZ-LYONS 485 DC PITTSPORT HI  14B7,201.71,Other
2025-02-15,"INV MCDOWELL, JOHNSON AND PEREZ 200 LA SOUTH THOMASVIEW NV  97y2",178.83,Utilities
2025-09-17,"POS OLSON, LOPEZ AND GALLAGHER 491 AZ NEW BRADLEYPORT KS  26V5",166.56,Groceries
2024-08-27,"PAYMENT TRUJILLO, ACOSTA AND OSBORN 514 CO NORTH MELISSABURY TN  58g7",134.98,Hotels
2025-08-29,PURCHASE AUTHORIZED SMITH INC 043 PW KAYLAMOUTH HI  17x7,37.45,Public Transport
2024-04-30,ONLINE PAYMENT NGUYEN-PHILLIPS 697 FL MELISSATON IL  23t6,485.83,Airfare
2024-07-07,PURCHASE AUTHORIZED MCDANIEL INC 790 AL SOUTH KIMBERLYFURT VI  35k3,55.19,Restaurants
2025-12-20,REF WALTERS LLC 688 LA SALAZARVIEW VT  77Y0,283.21,Utilities
2024-06-20,DEBIT WILLIAMS-MORENO 618 NM BLACKBURNBURY TX  42m1,11.25,Coffee Shops
2024-03-22,PAYMENT MCINTYRE-DAVIS 105 KY SOUTH MARKSIDE WV  42b7,267.41,Insurance
2024-09-18,ONLINE PAYMENT SILVA LTD 403 WY LAKE DOUGLAS CT  99u9,136.76,Electronics
2024-07-15,ONLINE PAYMENT ALVAREZ-OCONNOR 718 CA EAST JOHNHAVEN CO  08O2,211.88,Utilities
2024-11-24,INV DANIELS GROUP 130 RI COOKSTAD NV  92s0,40.78,Public Transport
2025-10-25,PURCHASE AUTHORIZED BALDWIN INC 011 NY NORTH JEFFREY MH  89N4,7.8,Coffee Shops
2024-07-24,ONLINE PAYMENT ALLSTATE SOUTH MICHAEL DE  33Z1,249.94,Insurance
2024-10-13,INV MOYER-HOOVER 780 CA HAASVIEW WA  16U8,403.53,Other
2024-08-10,INV WOLFE LLC 028 ND SOUTH DONALD VI  58M8,573.22,Electronics
2025-12-27,"PAYMENT GARCIA, LEWIS AND MAYNARD 861 WV NORTH JOSHUA TN  57G2",200.89,Clothing
2025-09-24,ONLINE PAYMENT HAYDEN INC 685 DC EAST MICHAELTOWN KY  85w1,107.75,Restaurants
2025-05-31,# HULU SARAHFURT IN  63O0,19.85,Streaming
2024-06-06,PAYMENT RANGEL GROUP 341 DE WAGNERFURT IL  18o4,138.29,Restaurants
2024-11-17,"DEBIT GREENE, BENNETT AND SCOTT 564 FM ARMSTRONGMOUTH OK  34s3",169.32,Utilities
2024-09-02,ONLINE PAYMENT DELGADO LLC 620 MD EAST JAMES MD  05n3,46.77,Public Transport
2024-08-02,REF DAVIS INC 003 RI WEST CARRIE AS  42w8,172.08,Groceries
2025-08-18,"# JENNINGS, CANNON AND HERNANDEZ 098 MT NORTH JACOB NV  56P7",3.28,Coffee Shops
2024-08-15,POS SMITH INC 416 MS JESSICABERG VI  21f3,8.96,Coffee Shops
2025-04-19,# COHEN LLC 310 NJ PHELPSBURGH NE  50G8,222.15,Utilities
2025-11-11,PAYMENT RODRIGUEZ INC 930 DC EVANSBERG MT  38e0,684.44,Electronics
2024-11-22,ONLINE PAYMENT STANLEY-GUERRA 134 RI ROGERSSIDE NE  86D0,288.64,Other
2024-02-29,TXN JONES-HARDIN 540 OR WEST KATIEVIEW FL  38z5,394.3,Other
2024-05-08,"REF PEREZ, HICKS AND LANE 745 DC NORTH JACKIE CA  82G9",43.55,Groceries
2024-05-24,"TXN DANIEL, PERRY AND HERNANDEZ 777 DC MILLERFURT NC  53U1",7.37,Streaming
2025-10-12,PAYMENT SMITH PLC 475 ND KRISTENBURGH MA  86B3,46.5,Restaurants
2025-10-19,ONLINE PAYMENT SCOTT-CLARK 985 IA VILLABOROUGH NM  31H4,246.0,Other
2024-05-26,POS MILLER-GOMEZ 138 WI NEW DAVID PA  41m9,45.23,Restaurants
2024-04-24,"REF WARD, ALLEN AND MARQUEZ 131 MD JULIECHESTER ND  94p5",23.51,Groceries
2024-07-20,"PAYMENT GEORGE, ATKINSON AND COCHRAN 269 MP NORTH SARASTAD MN  06W6",1944.0,Electronics
2024-09-06,# HAYES GROUP 168 WV LAKE KATHLEENTOWN OH  04Q0,76.13,Insurance
2024-05-24,PURCHASE AUTHORIZED MARSH-NGUYEN 292 GU NORTH YOLANDA SD  09g5,456.64,Clothing
2024-12-20,REF HEB ROBLESPORT MP  98i0,184.95,Groceries
2024-08-14,"# TATE, THOMPSON AND THOMAS 785 IN NEW JOSHUA WV  84c1",17.58,Streaming
2025-10-31,"POS ESTRADA, MALDONADO AND WALTERS 720 OH BUTLERBERG PA  81Y1",120.36,Groceries
2024-12-06,PURCHASE AUTHORIZED PATEL GROUP 727 NE TAMMYBERG PR  15N1,251.38,Airfare
2026-02-10,POS COCHRAN AND SONS 039 TN NEW MICHAEL MP  65S3,70.57,Other
2024-08-28,INV THOMPSON-JOHNSON 044 GA NORTH CHEYENNEVILLE AK  73t8,329.56,Other
2025-06-23,INV WILLIAMS AND SONS 788 AR LAWRENCEPORT HI  31R2,482.48,Other
2024-06-23,# GREENE-LOPEZ 654 IN WHITEBOROUGH ID  04o6,156.71,Other
2025-10-21,TXN TRADER JOE'S SAVAGEHAVEN IL  61T4,111.83,Groceries
2025-04-08,"POS JENKINS, MILLER AND MENDEZ 385 WV NORTH APRILLAND GU  46t4",408.77,Other
2025-01-03,TXN BUCKLEY-COLEMAN 048 NH EAST VINCENTPORT NV  89v5,166.76,Other
2026-02-16,ONLINE PAYMENT MCBRIDE-DOMINGUEZ 480 MD LYNNBOROUGH OR  09F8,230.64,Utilities
2024-10-02,"POS JENKINS, WEISS AND GRAY 011 KY PORT DOROTHYBOROUGH TN  47q1",274.45,Utilities
2024-02-27,POS WOLF PLC 790 IA MONICASTAD MT  34H4,96.87,Groceries
2025-02-24,"PURCHASE AUTHORIZED LONG, FITZGERALD AND ADAMS 525 NE NORTH CATHERINEMOUTH MT  73N3",15.01,Groceries
2025-05-21,INV TIM HORTONS LAKE AARONTON CO  26g2,12.13,Coffee Shops
2024-11-22,"PAYMENT MORENO, BELL AND BARAJAS 740 MD NEW LESLIE FM  45I0",38.57,Restaurants
2024-03-20,TXN LANG-CARROLL 931 TN NEW TODD ID  88N8,10.34,Coffee Shops
2025-09-26,POS SINGLETON INC 628 VA HAROLDBERG GU  02g6,189.18,Groceries
2025-01-13,"PURCHASE AUTHORIZED JOSEPH, SCOTT AND PHILLIPS 483 WA NEW CHELSEA RI  62L6",95.44,Utilities
2025-03-07,"TXN BAUTISTA, PETERS AND JENSEN 018 MP TERESABURY ID  01B1",457.83,Electronics
2025-04-10,PURCHASE AUTHORIZED ALVAREZ GROUP 672 AL HOBBSVIEW PR  69y1,742.21,Airfare
2025-09-23,"DEBIT WARD, ORTIZ AND HODGE 588 OR SOUTH PENNY LA  41W8",88.88,Restaurants
2025-01-31,"REF LEWIS, MALONE AND PHELPS 030 SD NORTH AMANDA KY  30R8",196.74,Other
2026-01-20,INV OLD NAVY LAKE DAVIDVILLE VT  75X3,40.71,Clothing
2024-12-27,DEBIT CLARKE-FITZPATRICK 333 AS NEW TRACI NV  14N3,41.59,Public Transport
2025-10-12,TXN HANSEN-FINLEY 960 PR LAKE SCOTT MS  99H6,13.83,Coffee Shops
2024-08-24,REF ALLEN-ZIMMERMAN 287 KY NEW LISA HI  68M8,174.73,Hotels
2025-05-21,REF SHAW-LAWRENCE 308 AR RUSSELLBURY OR  28N3,482.16,Other
2025-04-20,"POS PAGE, LEWIS AND NIELSEN 078 AL SOUTH MASON ID  32s3",54.47,Other
2024-12-12,"PAYMENT WILLIAMS, CARROLL AND JACKSON 461 NJ WEST KIMBERLYTOWN MH  95K1",18.59,Streaming
2024-03-14,ONLINE PAYMENT KHAN-KENNEDY 369 MP FRANCISCOHAVEN MD  95I1,124.63,Utilities
2026-02-19,PAYMENT PF CHANGS LAKE ANDREA LA  74b2,21.18,Restaurants
2024-02-27,"PURCHASE AUTHORIZED MASON, JACOBS AND BUTLER 697 VA WATTSTON MA  07q3",40.69,Restaurants
2025-06-08,REF MILLS-RUBIO 297 WV WEST KATHERINEMOUTH KS  12q8,196.83,Groceries
2026-02-12,REF RODRIGUEZ AND SONS 707 KS PORT LISA VA  51c3,6.9,Public Transport
2025-11-05,"POS WYATT, BLAKE AND GUTIERREZ 151 TX GRAHAMPORT AK  28e9",65.3,Restaurants
2024-12-10,"POS MORRIS, SANDERS AND KELLEY 049 AR SOUTH BRIANBOROUGH MD  86D5",151.53,Other
2024-11-10,"PURCHASE AUTHORIZED MARTINEZ, CRAIG AND HALL 588 WA WILKINSVIEW NJ  02u2",477.28,Airfare
2024-08-20,PURCHASE AUTHORIZED TREVINO LTD 727 HI EAST JUDITHFURT VT  66Y4,129.72,Utilities
2024-08-10,INV TARGET SCHNEIDERMOUTH GU  91J4,161.85,Groceries
2024-03-02,# WOOD PLC 020 GA BRADLEYBOROUGH TX  15F1,7.74,Streaming
2024-07-28,TXN PETERSEN GROUP 875 NJ AMBERCHESTER MS  59q6,426.89,Other
2025-11-11,TXN BONILLA PLC 510 ME DENISEFORT NC  14f5,299.14,Electronics
2024-04-25,"PURCHASE AUTHORIZED LUCAS, KNOX AND SANFORD 602 WI NORTH JOSEPHVILLE AR  04e9",91.74,Restaurants
2024-03-16,"TXN SNYDER, HOUSE AND MARTIN 494 KY EAST GINAFURT DC  12U9",8.49,Coffee Shops
2025-07-13,"POS HENRY, WARD AND HENRY 932 CT LAKE AMBERBURY WY  41Y8",174.4,Groceries
2024-08-05,REF ELLIS-SNYDER 745 DC WEST JOHN AL  86g2,54.39,Clothing
2024-11-04,# SAFEWAY NEW MICHAELVIEW PA  92n3,149.02,Groceries
2025-01-26,INV AGUILAR-DRAKE 529 DE KELLYSHIRE FL  40h8,36.73,Public Transport
2026-02-18,POS MARSHALL-WILSON 497 WA NEW PATRICIAFURT HI  90y4,607.49,Airfare
2025-02-28,POS B&H PHOTO SOUTH DANIEL AL  34f2,108.27,Electronics
2025-03-14,PURCHASE AUTHORIZED COMPTON LTD 502 VI LAKE CHADFURT WI  18T1,417.71,Other
2025-07-03,POS RANDALL GROUP 103 KS HARRELLTOWN WY  79G4,67.86,Restaurants
2024-11-14,"REF WARREN, FRANCIS AND LARSEN 648 FM NORTH EMILY FL  98y2",87.14,Utilities
2024-12-29,REF BREWER LLC 609 MN ZAVALALAND MH  03Z8,9.56,Streaming
2024-04-16,PAYMENT BROOKS-WATKINS 776 RI CHRISTOPHERMOUTH SD  18v3,120.7,Insurance
2025-09-05,POS SMITH-GARDNER 629 ID ARTHURHAVEN WA  24H1,185.85,Groceries
2024-03-22,PURCHASE AUTHORIZED GOOGLE SERVICES LAKE NICOLE MN  41R4,78.64,Other
2024-03-24,"DEBIT WILSON, MARTIN AND GONZALES 099 MA HILLMOUTH MS  21t0",105.8,Restaurants
2025-04-18,POS NORDSTROM NEW CASSANDRASIDE NV  50u4,260.92,Clothing
2025-03-06,"DEBIT JACKSON, ZIMMERMAN AND GOODWIN 024 MD AMANDAFORT RI  07c1",221.72,Other
2024-12-06,"PURCHASE AUTHORIZED SHELTON, PHILLIPS AND MANNING 929 MO NORTH JOCELYNTOWN MT  26i6",91.17,Gas
2025-03-29,"PAYMENT WHITE, ATKINS AND BERGER 400 NJ BOONESHIRE VA  42y1",104.77,Clothing
2025-05-01,INV EDWARDS LTD 805 DE NEW NATHANFORT KY  38A3,335.0,Other
2024-05-02,TXN MOLINA-BERG 250 UT NEW GREGORY WA  32J0,349.59,Other
2024-11-07,PURCHASE AUTHORIZED SMITH INC 773 MP HALLBERG ME  22o4,1417.79,Electronics
2024-09-23,REF PEREZ-FERNANDEZ 352 MO MATTHEWCHESTER TN  48a2,48.62,Other
2024-07-22,REF BATES-BISHOP 554 AL SOUTH THOMAS TN  18r3,353.25,Insurance
2025-06-22,REF MEIJER SERRANOVILLE HI  38R8,73.92,Groceries
2025-04-21,"POS DAVILA, CARLSON AND ONEAL 863 NY PORT DAVIDTON NE  23V4",296.24,Other
2024-12-11,ONLINE PAYMENT WONG-SCHROEDER 627 DE NEW MARIABOROUGH ME  68E8,32.64,Gas
2025-07-11,PURCHASE AUTHORIZED JENSEN-FOX 593 KY MARTINSHIRE CO  28I2,136.01,Groceries
2024-08-22,PURCHASE AUTHORIZED ROGERS-TURNER 757 TN NORTH MIRANDA WV  45E1,90.53,Clothing
2025-08-02,ONLINE PAYMENT ONEILL-WALLACE 948 MT OWENSVILLE FL  49P7,1448.58,Electronics
2025-08-29,# ANDERSON-ANDERSON 720 FL JAMESMOUTH MH  20m7,128.9,Restaurants
2025-05-24,"TXN HUERTA, ALEXANDER AND CLARK 384 PR NORTH APRIL SD  07u9",261.72,Other
2025-03-29,"DEBIT STEVENSON, WILLIAMSON AND FITZGERALD 208 IL JOHNFORT NJ  93m0",46.42,Groceries
2025-09-07,PURCHASE AUTHORIZED LEONARD-ASHLEY 947 TX MICHELLEMOUTH MT  50q7,238.02,Other
2026-02-01,# ELLIS INC 912 VA SOUTH CYNTHIA ME  36x3,26.32,Groceries
2025-02-13,"ONLINE PAYMENT MCCONNELL, THOMPSON AND WILSON 836 NY NEW MICHAELHAVEN CA  81j6",125.33,Utilities
2024-04-06,# AMAZON PRIME NEW KIMBERLYMOUTH ME  17S8,19.71,Streaming
2024-11-30,PURCHASE AUTHORIZED SMITH LLC 950 PR NEW DESTINY OK  92q3,637.19,Airfare
2025-01-08,TXN UNIQLO TINASIDE MD  96Q5,119.3,Clothing
2026-01-07,INV ALLISON PLC 319 NJ CYNTHIASIDE AK  14K5,12.63,Public Transport
2025-10-27,"POS BAIRD, AVERY AND SMITH 563 NE EAST JENNIFERBERG KS  30E8",9.01,Streaming
